lane	slug	lang	status	official_pct	xray_cause	behavioral	not_run_genuine	skip	shim_or_recipe
A_STALE_CONFIRM	blake3-team__blake3	python	near_lock	99.6	NEAR_LOCK	684/684 = 100.0%	0	6	build
A_STALE_CONFIRM	cheat__cheat	go	upstream_skips	99.7	NEAR_LOCK	306/306 = 100.0%	0	2	build
A_STALE_CONFIRM	cslarsen__jp2a	c	upstream_skips	99.72	NEAR_LOCK	712/712 = 100.0%	0	4	build
A_STALE_CONFIRM	ekzhang__bore.8e059cd.eval	rust	?	0	NEAR_LOCK	450/450 = 100.0%	0	0	build
A_STALE_CONFIRM	google__brotli	python	board_cache_only	4.3979	NEAR_LOCK	606/606 = 100.0%	0	0	build
A_STALE_CONFIRM	hush-shell__hush	rust	board_cache_only	6.6254	NEAR_LOCK	1288/1288 = 100.0%	15	0	build
A_STALE_CONFIRM	oppiliappan__eva.41ae245	rust	strict_lock	100.0	NEAR_LOCK	956/956 = 100.0%	0	0	build
A_STALE_CONFIRM	pemistahl__grex.fa3e8ed	rust	?	0	NEAR_LOCK	1504/1504 = 100.0%	0	0	build
A_STALE_CONFIRM	quinn-rs__quinn	rust	factory_accepted	7.8464	NEAR_LOCK	586/586 = 100.0%	0	1	build
A_STALE_CONFIRM	rs__jplot.2a54bcc	go	submetric_claim	100.0	NEAR_LOCK	1438/1438 = 100.0%	0	0	build
A_STALE_CONFIRM	sharkdp__hyperfine.327d5f4	rust	strict_lock	100.0	NEAR_LOCK	298/298 = 100.0%	0	0	build
A_STALE_CONFIRM	sitkevij__hex.61ae69b	rust	strict_lock	100.0	NEAR_LOCK	866/866 = 100.0%	0	0	build
A_STALE_CONFIRM	stathissideris__ditaa.f2286c4	java	strict_lock	100.0	NEAR_LOCK	681/681 = 100.0%	0	0	build
A_STALE_CONFIRM	thezoraiz__ascii-image-converter.d05a757	go	strict_lock	100.0	NEAR_LOCK	488/488 = 100.0%	0	0	build
A_STALE_CONFIRM	wfxr__code-minimap.0ddeea5	rust	strict_lock	100.0	NEAR_LOCK	369/369 = 100.0%	0	0	build
A_STALE_CONFIRM	ariga__atlas	go	factory_accepted	99.94	NEAR_LOCK	1702/1703 = 99.9%	0	0	recipe
A_STALE_CONFIRM	ducaale__xh	rust	factory_accepted	90.92	NEAR_LOCK	1266/1270 = 99.7%	0	2	build
A_STALE_CONFIRM	axodotdev__oranda	rust	factory_accepted	96.11	NEAR_LOCK	978/984 = 99.4%	0	2	build
A_STALE_CONFIRM	naggie__dstask	go	board_cache_only	99.18	NEAR_LOCK	1572/1582 = 99.4%	0	8	build
A_STALE_CONFIRM	tarka__xcp	rust	factory_accepted	96.6	NEAR_LOCK	1208/1216 = 99.3%	0	40	recipe
A_STALE_CONFIRM	arq5x__bedtools2	cpp	factory_accepted	0.366	NEAR_LOCK	1062/1073 = 99.0%	0	40	build
B_HARNESS_FIX	stranger6667__jsonschema	rust	board_cache_only	7.3229	NOT_RUN_SUPPRESSION	1903/1903 = 100.0%	1101	4	build
B_HARNESS_FIX	johnkerl__miller	go	factory_accepted	91.91	NOT_RUN_SUPPRESSION	13715/13817 = 99.3%	2173	4	build
B_HARNESS_FIX	antonmedv__walk	go	factory_accepted	92.48	NOT_RUN_SUPPRESSION	655/660 = 99.2%	96	2	recipe
B_HARNESS_FIX	segmentio__chamber	go	factory_accepted	91.9305	NOT_RUN_SUPPRESSION	2062/2089 = 98.7%	297	12	recipe
B_HARNESS_FIX	canop__broot	rust	factory_accepted	87.24	NOT_RUN_SUPPRESSION	682/698 = 97.7%	129	0	recipe
B_HARNESS_FIX	stacked-git__stgit	rust	board_cache_only	20.6303	NOT_RUN_SUPPRESSION	2143/2258 = 94.9%	97	20	build
B_HARNESS_FIX	jesseduffield__lazygit	go	factory_accepted	71.1623	NOT_RUN_SUPPRESSION	649/692 = 93.8%	429	12	build
C_SKIP_VERIFY	tree-sitter__tree-sitter	rust	near_miss	97.34	SKIP_CEILING_OR_MATCH	1595/1597 = 99.9%	0	86	recipe
C_SKIP_VERIFY	skeema__skeema	go	factory_accepted	88.0822	SKIP_CEILING_OR_MATCH	3028/3094 = 97.9%	0	692	recipe
D_FINICKY_TAIL	elkowar__pipr	rust	factory_accepted	97.6	NEAR_LOCK	821/833 = 98.6%	0	2	build
D_FINICKY_TAIL	rust-lang__mdbook	rust	factory_accepted	96.0199	NEAR_LOCK	1270/1291 = 98.4%	0	12	build
D_FINICKY_TAIL	xorg62__tty-clock	c	factory_accepted	97.49	NEAR_LOCK	313/319 = 98.1%	0	0	build
D_FINICKY_TAIL	luajit__luajit	c	board_cache_only	5.5797	NEAR_LOCK	3107/3169 = 98.0%	0	2	build
D_FINICKY_TAIL	dandavison__delta	rust	factory_accepted	96.0	NEAR_LOCK	1159/1188 = 97.6%	0	0	build
D_FINICKY_TAIL	byron__dua-cli	rust	factory_accepted	96.9	NEAR_LOCK	955/982 = 97.3%	0	8	build
