sharkdp__hyperfine.327d5f4	125/298=41.95%	rc=124	300s	2026-05-16T19:12:40+00:00
svenstaro__genact.16f96e3	19/236=8.05%	rc=124	300s	2026-05-16T19:12:40+00:00
altdesktop__i3-style.f93821b	128/961=13.32%	rc=0	1452s	2026-05-16T19:31:51+00:00
bensadeh__tailspin.6278437	180/1026=17.54%	rc=0	1335s	2026-05-16T19:36:09+00:00
cordx56__rustowl.655bc5c	162/699=23.18%	rc=0	826s	2026-05-16T19:46:26+00:00
direnv__direnv.02040c7	136/1006=13.52%	rc=0	1175s	2026-05-16T19:52:17+00:00
cweill__gotests.2a672c5	112/889=12.60%	rc=0	1265s	2026-05-16T19:53:45+00:00
crowdagger__crowbook.ea214d7	113/1067=10.59%	rc=0	1440s	2026-05-16T19:56:40+00:00
ekzhang__bore.8e059cd	63/632=9.97%	rc=0	1334s	2026-05-16T20:01:09+00:00
facebookresearch__fasttext.1142dc4	114/664=17.17%	rc=0	586s	2026-05-16T20:02:03+00:00
filosottile__age.706dfc1	115/1038=11.08%	rc=0	1073s	2026-05-16T20:11:38+00:00
foriequal0__git-trim.07c2f50	239/770=31.04%	rc=0	1194s	2026-05-16T20:16:34+00:00
ismaelgv__rnr.fc0733b	109/794=13.73%	rc=0	1444s	2026-05-16T20:26:07+00:00
jrnxf__thokr.09375ef	101/652=15.49%	rc=0	1066s	2026-05-16T20:29:13+00:00
lfos__calcurse.49180d5	520/1488=34.95%	rc=0	904s	2026-05-16T20:37:46+00:00
miserlou__loop.209927c	226/1119=20.20%	rc=0	1284s	2026-05-16T20:47:31+00:00
mookid__diffr.2152742	218/1116=19.53%	rc=0	1431s	2026-05-16T20:50:01+00:00
mkj__dropbear.75f699b	270/1007=26.81%	rc=0	1487s	2026-05-16T20:50:57+00:00
oppiliappan__eva.41ae245	489/1310=37.33%	rc=0	1086s	2026-05-16T20:59:40+00:00
osgeo__proj.75d455c	3/5793=0.05%	rc=0	1468s	2026-05-16T21:11:23+00:00
rbakbashev__elfcat.52f8cc7	88/714=12.32%	rc=0	1350s	2026-05-16T21:13:28+00:00
cheat__cheat.b8098dc	0/307=0.00%	rc=124	300s	2026-05-16T21:13:39+00:00
chmln__handlr.90e78ba	0/908=0.00%	rc=124	300s	2026-05-16T21:13:39+00:00
rust-embedded__svd2rust.1760b5e	-	rc=0	953s	2026-05-16T21:15:33+00:00
rs__jplot.2a54bcc	292/969=30.13%	rc=	1167s	2026-05-16T21:15:37+00:00
quinn-rs__quinn.bb359cc	-	rc=	1504s	2026-05-16T21:15:51+00:00
hairyhenderson__gomplate.05eb3aa	-	rc=124	300s	2026-05-16T21:18:39+00:00
johanneskaufmann__html-to-markdown.3006818	-	rc=124	300s	2026-05-16T21:18:39+00:00
ninja-build__ninja.cc60300	-	rc=124	300s	2026-05-16T21:23:40+00:00
pls-rs__pls.4e1ae50	32/354=9.04%	rc=124	300s	2026-05-16T21:23:40+00:00
hooklift__gowsdl.2a06cec	76/587=12.95%	rc=0	784s	2026-05-16T21:28:38+00:00
thezoraiz__ascii-image-converter.d05a757	70/485=14.43%	rc=124	300s	2026-05-16T21:28:41+00:00
xorg62__tty-clock.f2f847c	28/342=8.19%	rc=124	300s	2026-05-16T21:28:41+00:00
mfridman__tparse.2416b4b	244/655=37.25%	rc=	781s	2026-05-16T21:28:55+00:00
eradman__entr.8e2e8b4	227/671=33.83%	rc=0	1136s	2026-05-16T21:31:27+00:00
yaa110__nomino.f892499	28/403=6.95%	rc=124	300s	2026-05-16T21:33:41+00:00
luajit__luajit.a553b3d	-	rc=	1503s	2026-05-16T21:40:43+00:00
