doc,name,size_bytes,bucket,ref_total,ref_locks,ref_locks_count,ref_scripts,ref_scripts_count,ref_tests,ref_tests_count,ref_top,ref_top_count,disposition
docs/ACTION_SAFETY_POLICY.md,ACTION_SAFETY_POLICY.md,4229,POLICY,0,,0,,0,,0,,0,KEEP
docs/APPLY_GATE_FIXTURE_REFUSAL.md,APPLY_GATE_FIXTURE_REFUSAL.md,930,MISC,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/APPROVAL_SIGNATURE_CRYPTOGRAPHIC_BINDING.md,APPROVAL_SIGNATURE_CRYPTOGRAPHIC_BINDING.md,1437,PER_SOURCE_MUTATION,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/ARBITRARY_REPO_READINESS_MATRIX.md,ARBITRARY_REPO_READINESS_MATRIX.md,2980,MISC,1,locks/sentinel/ARBITRARY_REPO_READINESS_MATRIX_LOCK_001.json,1,,0,,0,,0,REVIEW
docs/ARCHITECTURE.md,ARCHITECTURE.md,79310,FOUNDATION,1,,0,,0,,0,README.md,1,KEEP
docs/AUDIT_EVIDENCE_GUIDE.md,AUDIT_EVIDENCE_GUIDE.md,820,FOUNDATION,0,,0,,0,,0,,0,KEEP
docs/AUDIT_IDE_TECH_DEBT.md,AUDIT_IDE_TECH_DEBT.md,16341,PER_AUDIT_DATED,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/BENCHMARK_EXPANSION.md,BENCHMARK_EXPANSION.md,35086,FOUNDATION,0,,0,,0,,0,,0,KEEP
docs/BUILD_ADAPTER_BACKED_VERIFIER_SELECTION.md,BUILD_ADAPTER_BACKED_VERIFIER_SELECTION.md,970,MISC,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/CANONICAL_LOCAL_MODEL_ID_SELECTION.md,CANONICAL_LOCAL_MODEL_ID_SELECTION.md,862,MISC,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/capability_audit.md,capability_audit.md,13004,PER_AUDIT_DATED,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_APP_CREATION_BENCH_SEED.md,DETERMINEX_APP_CREATION_BENCH_SEED.md,1837,MISC,2,locks/sentinel/DETERMINEX_APP_CREATION_BENCH_SEED_LOCK_001.json,1,scripts/status/universal_100_data_plane.py,1,,0,,0,REVIEW
docs/DETERMINEX_APPEND_ONLY_EVIDENCE_LEDGER.md,DETERMINEX_APPEND_ONLY_EVIDENCE_LEDGER.md,871,PER_EVIDENCE_GUARD,0,,0,,0,,0,,0,COLD_STORAGE_SAFE
docs/DETERMINEX_CATHEDRAL_INDEX_FOUNDATION.md,DETERMINEX_CATHEDRAL_INDEX_FOUNDATION.md,8180,FOUNDATION,2,locks/sentinel/DETERMINEX_CATHEDRAL_INDEX_FOUNDATION_LOCK_001.json,1,scripts/status/cathedral_index_foundation.py,1,,0,,0,KEEP
